dataset,sse,view,reference,candidate,ssim,lpips
bagRotterdam,4,5,bagRotterdam__sse-4__view-5.png,bagRotterdam__sse-4__view-5.png,1.0,
bagRotterdam,64,0,bagRotterdam__sse-4__view-0.png,bagRotterdam__sse-64__view-0.png,0.966171576646234,
bagRotterdam,64,1,bagRotterdam__sse-4__view-1.png,bagRotterdam__sse-64__view-1.png,0.9520008437797682,
bagRotterdam,64,2,bagRotterdam__sse-4__view-2.png,bagRotterdam__sse-64__view-2.png,0.963088346375171,
bagRotterdam,64,3,bagRotterdam__sse-4__view-3.png,bagRotterdam__sse-64__view-3.png,0.9819876882553477,
bagRotterdam,64,4,bagRotterdam__sse-4__view-4.png,bagRotterdam__sse-64__view-4.png,0.9701300036379487,
bagRotterdam,64,5,bagRotterdam__sse-4__view-5.png,bagRotterdam__sse-64__view-5.png,0.959264852050134,
bagRotterdam,6,0,bagRotterdam__sse-4__view-0.png,bagRotterdam__sse-6__view-0.png,0.966171576646234,
bagRotterdam,6,1,bagRotterdam__sse-4__view-1.png,bagRotterdam__sse-6__view-1.png,0.9647811272403518,
bagRotterdam,6,2,bagRotterdam__sse-4__view-2.png,bagRotterdam__sse-6__view-2.png,0.963088346375171,
bagRotterdam,6,3,bagRotterdam__sse-4__view-3.png,bagRotterdam__sse-6__view-3.png,0.9819876882553477,
bagRotterdam,6,4,bagRotterdam__sse-4__view-4.png,bagRotterdam__sse-6__view-4.png,0.9701300036379487,
bagRotterdam,6,5,bagRotterdam__sse-4__view-5.png,bagRotterdam__sse-6__view-5.png,0.959264852050134,
bagRotterdam,8,0,bagRotterdam__sse-4__view-0.png,bagRotterdam__sse-8__view-0.png,0.966171576646234,
bagRotterdam,8,1,bagRotterdam__sse-4__view-1.png,bagRotterdam__sse-8__view-1.png,0.9520008437797682,
bagRotterdam,8,2,bagRotterdam__sse-4__view-2.png,bagRotterdam__sse-8__view-2.png,0.963088346375171,
bagRotterdam,8,3,bagRotterdam__sse-4__view-3.png,bagRotterdam__sse-8__view-3.png,0.9819876882553477,
bagRotterdam,8,4,bagRotterdam__sse-4__view-4.png,bagRotterdam__sse-8__view-4.png,0.9701300036379487,
bagRotterdam,8,5,bagRotterdam__sse-4__view-5.png,bagRotterdam__sse-8__view-5.png,0.959264852050134,
